ID,Nombre,Edad,Género,Ciudad,Comentario,Categoría del problema,Nivel de urgencia,Fecha del reporte,Acceso a internet,Atención previa del gobierno,Zona rural,Categoría detectada,Categoría final,Urgencia_num
2,Camilo,40.0,Otro,Santa Marta,no tenemos centros culturales ni bibliotecas.,Medio Ambiente,No urgente,2023-04-12,1,1,1,,Medio Ambiente,1
3,Pedro,35.0,Otro,Medellín,las basuras no se recogen a tiempo.,Medio Ambiente,No urgente,2023-06-09,1,1,0,,Medio Ambiente,1
4,Ana,48.0,F,Bogotá,la contaminación del río está aumentando.,Seguridad,No urgente,2023-06-04,0,1,1,Medio Ambiente,Medio Ambiente,1
6,María,29.0,M,Cartagena,hay problemas con la recolección de basura.,Seguridad,No urgente,2023-09-18,0,1,0,Medio Ambiente,Medio Ambiente,1
7,Ana,48.0,M,Medellín,la contaminación del río está aumentando.,Salud,No urgente,2023-07-20,0,1,0,Medio Ambiente,Medio Ambiente,1
9,Carlos,57.0,M,Medellín,necesitamos más acceso a internet en la zona.,Medio Ambiente,No urgente,2023-09-01,1,1,1,,Medio Ambiente,0
11,Pedro,46.0,Otro,Bogotá,falta agua potable en varias casas.,Educación,Urgente,2024-04-02,0,1,0,Medio Ambiente,Medio Ambiente,1
12,Ana,67.0,M,Manizales,la contaminación del río está aumentando.,Seguridad,Urgente,2023-03-14,1,1,1,Medio Ambiente,Medio Ambiente,1
13,Laura,46.0,Otro,Medellín,falta agua potable en varias casas.,Salud,Urgente,2023-11-08,1,0,0,Medio Ambiente,Medio Ambiente,1
15,Laura,67.0,F,Manizales,falta agua potable en varias casas.,Educación,Urgente,2024-08-16,1,1,1,Medio Ambiente,Medio Ambiente,1
18,Juan,71.0,Otro,Barranquilla,la contaminación del río está aumentando.,Salud,No urgente,2023-12-21,0,1,0,Medio Ambiente,Medio Ambiente,1
23,Jorge,51.0,Otro,Pereira,falta agua potable en varias casas.,Medio Ambiente,Urgente,2024-09-20,0,1,0,Medio Ambiente,Medio Ambiente,1
27,Ana,24.0,F,Bucaramanga,las basuras no se recogen a tiempo.,Medio Ambiente,No urgente,2024-04-11,0,1,0,,Medio Ambiente,1
28,Sofía,63.0,Otro,Pereira,la contaminación del río está aumentando.,Medio Ambiente,No urgente,2024-08-03,0,1,1,Medio Ambiente,Medio Ambiente,1
29,Carlos,46.0,F,Cali,hay problemas con la recolección de basura.,Educación,Urgente,2024-06-29,1,1,1,Medio Ambiente,Medio Ambiente,1
30,Pedro,34.0,F,Cúcuta,falta agua potable en varias casas.,Seguridad,Urgente,2023-10-17,0,0,0,Medio Ambiente,Medio Ambiente,1
32,María,80.0,M,Barranquilla,falta agua potable en varias casas.,Medio Ambiente,Urgente,2023-02-06,0,1,1,Medio Ambiente,Medio Ambiente,1
33,Pedro,77.0,Otro,Santa Marta,no hay suficientes escuelas públicas.,Medio Ambiente,Urgente,2024-11-23,1,1,1,,Medio Ambiente,1
37,Carlos,18.0,M,Manizales,hay problemas con la recolección de basura.,Medio Ambiente,No urgente,2024-09-23,0,0,0,Medio Ambiente,Medio Ambiente,1
39,Sofía,33.0,F,Santa Marta,hay problemas con la recolección de basura.,Medio Ambiente,No urgente,2024-10-20,0,1,0,Medio Ambiente,Medio Ambiente,1
40,Valentina,18.0,M,Manizales,falta agua potable en varias casas.,Educación,No urgente,2023-08-10,0,0,0,Medio Ambiente,Medio Ambiente,1
43,María,50.0,Otro,Cali,hay problemas con la recolección de basura.,Medio Ambiente,No urgente,2024-09-13,1,0,0,Medio Ambiente,Medio Ambiente,1
46,Jorge,59.0,Otro,Bucaramanga,hay problemas con la recolección de basura.,Educación,No urgente,2023-07-28,1,0,0,Medio Ambiente,Medio Ambiente,1
53,Pedro,53.0,M,Cartagena,la contaminación del río está aumentando.,Seguridad,Urgente,2024-10-07,1,1,0,Medio Ambiente,Medio Ambiente,1
64,Jorge,70.0,M,Santa Marta,hay problemas con la recolección de basura.,Medio Ambiente,No urgente,2023-04-22,0,1,0,Medio Ambiente,Medio Ambiente,1
70,María,66.0,M,Manizales,hay problemas con la recolección de basura.,Medio Ambiente,Urgente,2023-02-22,1,0,1,Medio Ambiente,Medio Ambiente,1
72,Sofía,19.0,F,Pereira,necesitamos más acceso a internet en la zona.,Medio Ambiente,Urgente,2024-09-23,0,0,0,,Medio Ambiente,0
73,Sofía,32.0,Otro,Cali,la contaminación del río está aumentando.,Salud,Urgente,2024-10-07,0,0,1,Medio Ambiente,Medio Ambiente,1
74,Juan,38.0,F,Cartagena,necesitamos más acceso a internet en la zona.,Medio Ambiente,No urgente,2024-11-25,1,1,1,,Medio Ambiente,0
75,Valentina,28.0,F,Cartagena,hay problemas con la recolección de basura.,Educación,No urgente,2024-04-14,1,1,1,Medio Ambiente,Medio Ambiente,1
76,Valentina,24.0,Otro,Cúcuta,la contaminación del río está aumentando.,Seguridad,Urgente,2024-05-23,1,1,0,Medio Ambiente,Medio Ambiente,1
77,Valentina,22.0,F,Bogotá,las basuras no se recogen a tiempo.,Medio Ambiente,No urgente,2023-01-25,0,1,1,,Medio Ambiente,1
81,Juan,21.0,M,Bogotá,las basuras no se recogen a tiempo.,Medio Ambiente,Urgente,2024-08-17,0,1,1,,Medio Ambiente,1
82,Juan,19.0,F,Cali,la contaminación del río está aumentando.,Seguridad,Urgente,2023-05-29,0,0,0,Medio Ambiente,Medio Ambiente,1
83,Camilo,58.0,Otro,Manizales,la contaminación del río está aumentando.,Medio Ambiente,Urgente,2023-10-09,1,0,1,Medio Ambiente,Medio Ambiente,1
84,Laura,76.0,F,Santa Marta,la contaminación del río está aumentando.,Salud,Urgente,2024-09-03,1,1,0,Medio Ambiente,Medio Ambiente,1
88,Pedro,58.0,Otro,Cúcuta,la contaminación del río está aumentando.,Medio Ambiente,No urgente,2023-06-04,1,0,1,Medio Ambiente,Medio Ambiente,1
95,Jorge,20.0,Otro,Cali,la contaminación del río está aumentando.,Educación,No urgente,2023-07-24,0,1,0,Medio Ambiente,Medio Ambiente,1
97,Valentina,72.0,F,Medellín,falta agua potable en varias casas.,Medio Ambiente,Urgente,2023-08-25,1,0,0,Medio Ambiente,Medio Ambiente,1
98,Carlos,66.0,Otro,Manizales,hay problemas con la recolección de basura.,Medio Ambiente,Urgente,2023-01-23,0,1,0,Medio Ambiente,Medio Ambiente,1
103,Jorge,27.0,F,Manizales,la contaminación del río está aumentando.,Medio Ambiente,No urgente,2024-05-23,0,1,0,Medio Ambiente,Medio Ambiente,1
105,Sofía,50.0,F,Cúcuta,la contaminación del río está aumentando.,Educación,No urgente,2024-03-16,1,0,0,Medio Ambiente,Medio Ambiente,1
107,Carlos,48.0,F,Pereira,la contaminación del río está aumentando.,Medio Ambiente,No urgente,2024-03-17,1,0,1,Medio Ambiente,Medio Ambiente,1
112,Juan,65.0,Otro,Pereira,hay problemas con la recolección de basura.,Salud,Urgente,2023-04-08,1,0,1,Medio Ambiente,Medio Ambiente,1
115,Camilo,25.0,Otro,Bogotá,hay problemas con la recolección de basura.,Salud,Urgente,2024-04-01,1,1,1,Medio Ambiente,Medio Ambiente,1
117,Laura,55.0,F,Cali,falta agua potable en varias casas.,Medio Ambiente,Urgente,2023-09-09,0,1,1,Medio Ambiente,Medio Ambiente,1
118,Jorge,62.0,F,Cartagena,no tenemos centros culturales ni bibliotecas.,Medio Ambiente,Urgente,2023-04-01,0,1,1,,Medio Ambiente,1
123,Sofía,66.0,F,Cartagena,las basuras no se recogen a tiempo.,Medio Ambiente,Urgente,2024-07-02,1,1,1,,Medio Ambiente,1
125,Pedro,47.0,M,Medellín,necesitamos más acceso a internet en la zona.,Medio Ambiente,No urgente,2024-09-09,1,0,0,,Medio Ambiente,0
126,Juan,61.0,Otro,Pereira,hay problemas con la recolección de basura.,Educación,No urgente,2023-06-04,1,0,0,Medio Ambiente,Medio Ambiente,1
127,Camilo,32.0,Otro,Bucaramanga,la contaminación del río está aumentando.,Seguridad,Urgente,2023-06-20,1,0,0,Medio Ambiente,Medio Ambiente,1
131,Juan,30.0,F,Santa Marta,las basuras no se recogen a tiempo.,Medio Ambiente,No urgente,2024-07-15,1,0,0,,Medio Ambiente,1
134,Camilo,71.0,F,Pereira,la contaminación del río está aumentando.,Medio Ambiente,Urgente,2023-12-24,0,0,0,Medio Ambiente,Medio Ambiente,1
136,Jorge,36.0,M,Bogotá,no tenemos centros culturales ni bibliotecas.,Medio Ambiente,Urgente,2024-01-08,0,1,0,,Medio Ambiente,1
137,Sofía,18.0,Otro,Cartagena,la contaminación del río está aumentando.,Salud,Urgente,2024-04-16,0,1,0,Medio Ambiente,Medio Ambiente,1
140,Pedro,57.0,Otro,Pereira,no tenemos centros culturales ni bibliotecas.,Medio Ambiente,Urgente,2023-11-05,1,0,1,,Medio Ambiente,1
141,Juan,73.0,Otro,Bucaramanga,no tenemos centros culturales ni bibliotecas.,Medio Ambiente,Urgente,2024-03-17,1,0,0,,Medio Ambiente,1
144,Laura,71.0,F,Medellín,falta agua potable en varias casas.,Seguridad,No urgente,2023-11-27,1,0,1,Medio Ambiente,Medio Ambiente,1
